CroppedImage,Full_Image,Set
lat_-12.01276_lon_-44.68100.npz.npy,lat_-12.01276_lon_-44.68100.npz,Train
lat_-12.09286_lon_-45.78525.npz.npy,lat_-12.09286_lon_-45.78525.npz,Train
lat_-12.09333_lon_26.39999.npz.npy,lat_-12.09333_lon_26.39999.npz,Train
lat_-12.09397_lon_-44.94849.npz.npy,lat_-12.09397_lon_-44.94849.npz,Train
lat_-12.13448_lon_-44.94849.npz.npy,lat_-12.13448_lon_-44.94849.npz,Train
lat_-12.15474_lon_-44.98966.npz.npy,lat_-12.15474_lon_-44.98966.npz,Train
lat_-12.17493_lon_-44.80435.npz.npy,lat_-12.17493_lon_-44.80435.npz,Train
lat_-12.30393_lon_-42.34796.npz.npy,lat_-12.30393_lon_-42.34796.npz,Train
lat_-12.32663_lon_-42.61533.npz.npy,lat_-12.32663_lon_-42.61533.npz,Train
lat_-12.32884_lon_-42.88295.npz.npy,lat_-12.32884_lon_-42.88295.npz,Train
lat_-12.37388_lon_13.58297.npz.npy,lat_-12.37388_lon_13.58297.npz,Train
lat_-12.41538_lon_13.78879.npz.npy,lat_-12.41538_lon_13.78879.npz,Train
lat_-12.57726_lon_-55.75959.npz.npy,lat_-12.57726_lon_-55.75959.npz,Train
lat_-12.57863_lon_-44.10293.npz.npy,lat_-12.57863_lon_-44.10293.npz,Train
lat_-12.66927_lon_13.35451.npz.npy,lat_-12.66927_lon_13.35451.npz,Train
lat_-12.67335_lon_-38.26762.npz.npy,lat_-12.67335_lon_-38.26762.npz,Train
lat_-12.67346_lon_-38.30887.npz.npy,lat_-12.67346_lon_-38.30887.npz,Train
lat_-12.67352_lon_-38.32950.npz.npy,lat_-12.67352_lon_-38.32950.npz,Train
lat_-12.69410_lon_-38.47386.npz.npy,lat_-12.69410_lon_-38.47386.npz,Train
lat_-12.69414_lon_-38.49449.npz.npy,lat_-12.69414_lon_-38.49449.npz,Train
lat_-12.69428_lon_-38.57701.npz.npy,lat_-12.69428_lon_-38.57701.npz,Train
lat_-12.71439_lon_-38.49445.npz.npy,lat_-12.71439_lon_-38.49445.npz,Train
lat_-12.73461_lon_-38.47378.npz.npy,lat_-12.73461_lon_-38.47378.npz,Train
lat_-12.77512_lon_-38.47369.npz.npy,lat_-12.77512_lon_-38.47369.npz,Train
lat_-12.79524_lon_-38.41174.npz.npy,lat_-12.79524_lon_-38.41174.npz,Train
lat_-12.79529_lon_-38.43238.npz.npy,lat_-12.79529_lon_-38.43238.npz,Train
lat_-12.85662_lon_-38.84512.npz.npy,lat_-12.85662_lon_-38.84512.npz,Train
lat_-12.91667_lon_-38.37016.npz.npy,lat_-12.91667_lon_-38.37016.npz,Train
lat_-12.93453_lon_34.28344.npz.npy,lat_-12.93453_lon_34.28344.npz,Train
lat_-12.95737_lon_-38.45266.npz.npy,lat_-12.95737_lon_-38.45266.npz,Train
lat_-13.01647_lon_-55.92268.npz.npy,lat_-13.01647_lon_-55.92268.npz,Train
lat_-13.03681_lon_-55.94324.npz.npy,lat_-13.03681_lon_-55.94324.npz,Train
lat_-13.11849_lon_39.87833.npz.npy,lat_-13.11849_lon_39.87833.npz,Train
lat_-13.29689_lon_-43.34253.npz.npy,lat_-13.29689_lon_-43.34253.npz,Train
lat_-13.29702_lon_-43.36320.npz.npy,lat_-13.29702_lon_-43.36320.npz,Train
lat_-13.31713_lon_-43.34239.npz.npy,lat_-13.31713_lon_-43.34239.npz,Train
lat_-13.34041_lon_-43.90058.npz.npy,lat_-13.34041_lon_-43.90058.npz,Train
lat_-13.65742_lon_31.90698.npz.npy,lat_-13.65742_lon_31.90698.npz,Train
lat_-13.65944_lon_32.56195.npz.npy,lat_-13.65944_lon_32.56195.npz,Train
lat_-13.67767_lon_31.90689.npz.npy,lat_-13.67767_lon_31.90689.npz,Train
lat_-13.81093_lon_-42.68387.npz.npy,lat_-13.81093_lon_-42.68387.npz,Train
lat_-13.89188_lon_-42.68306.npz.npy,lat_-13.89188_lon_-42.68306.npz,Train
lat_-13.90157_lon_33.79827.npz.npy,lat_-13.90157_lon_33.79827.npz,Train
lat_-13.97223_lon_-42.62009.npz.npy,lat_-13.97223_lon_-42.62009.npz,Train
lat_-13.99247_lon_-42.61988.npz.npy,lat_-13.99247_lon_-42.61988.npz,Train
lat_-14.01311_lon_-42.66112.npz.npy,lat_-14.01311_lon_-42.66112.npz,Train
lat_-14.01331_lon_-42.68185.npz.npy,lat_-14.01331_lon_-42.68185.npz,Train
lat_-14.02208_lon_34.06111.npz.npy,lat_-14.02208_lon_34.06111.npz,Train
lat_-14.03294_lon_-42.61946.npz.npy,lat_-14.03294_lon_-42.61946.npz,Train
lat_-14.04233_lon_34.06120.npz.npy,lat_-14.04233_lon_34.06120.npz,Train
lat_-14.09310_lon_-71.43605.npz.npy,lat_-14.09310_lon_-71.43605.npz,Train
lat_-14.15309_lon_-42.49378.npz.npy,lat_-14.15309_lon_-42.49378.npz,Train
lat_-14.28397_lon_-43.66774.npz.npy,lat_-14.28397_lon_-43.66774.npz,Train
lat_-14.35630_lon_-42.57457.npz.npy,lat_-14.35630_lon_-42.57457.npz,Train
lat_-14.39740_lon_-42.63641.npz.npy,lat_-14.39740_lon_-42.63641.npz,Train
lat_-14.41743_lon_-42.61543.npz.npy,lat_-14.41743_lon_-42.61543.npz,Train
lat_-14.44441_lon_34.58254.npz.npy,lat_-14.44441_lon_34.58254.npz,Train
lat_-14.51904_lon_-40.38812.npz.npy,lat_-14.51904_lon_-40.38812.npz,Train
lat_-14.51916_lon_-40.36734.npz.npy,lat_-14.51916_lon_-40.36734.npz,Train
lat_-14.76382_lon_-43.95619.npz.npy,lat_-14.76382_lon_-43.95619.npz,Train
lat_-14.83993_lon_-40.82723.npz.npy,lat_-14.83993_lon_-40.82723.npz,Train
lat_-14.85573_lon_-71.31955.npz.npy,lat_-14.85573_lon_-71.31955.npz,Train
lat_-14.87597_lon_-71.31977.npz.npy,lat_-14.87597_lon_-71.31977.npz,Train
lat_-14.90049_lon_-40.84855.npz.npy,lat_-14.90049_lon_-40.84855.npz,Train
lat_-14.91644_lon_-71.32020.npz.npy,lat_-14.91644_lon_-71.32020.npz,Train
lat_-15.08809_lon_-44.01715.npz.npy,lat_-15.08809_lon_-44.01715.npz,Train
lat_-15.08841_lon_-44.09326.npz.npy,lat_-15.08841_lon_-44.09326.npz,Train
lat_-15.10734_lon_-43.80863.npz.npy,lat_-15.10734_lon_-43.80863.npz,Train
lat_-15.22853_lon_-40.24670.npz.npy,lat_-15.22853_lon_-40.24670.npz,Train
lat_-15.28911_lon_-43.72417.npz.npy,lat_-15.28911_lon_-43.72417.npz,Train
lat_-15.34960_lon_-43.68207.npz.npy,lat_-15.34960_lon_-43.68207.npz,Train
lat_-15.38542_lon_-44.17547.npz.npy,lat_-15.38542_lon_-44.17547.npz,Train
lat_-15.40411_lon_28.17217.npz.npy,lat_-15.40411_lon_28.17217.npz,Train
lat_-15.42378_lon_28.27665.npz.npy,lat_-15.42378_lon_28.27665.npz,Train
lat_-15.46283_lon_28.50652.npz.npy,lat_-15.46283_lon_28.50652.npz,Train
lat_-15.48735_lon_-44.38389.npz.npy,lat_-15.48735_lon_-44.38389.npz,Train
lat_-15.52412_lon_28.42344.npz.npy,lat_-15.52412_lon_28.42344.npz,Train
lat_-15.53624_lon_-47.36875.npz.npy,lat_-15.53624_lon_-47.36875.npz,Train
lat_-15.53911_lon_-47.35843.npz.npy,lat_-15.53911_lon_-47.35843.npz,Train
lat_-15.54526_lon_28.27739.npz.npy,lat_-15.54526_lon_28.27739.npz,Train
lat_-15.54685_lon_-56.03589.npz.npy,lat_-15.54685_lon_-56.03589.npz,Train
lat_-15.56734_lon_-56.09119.npz.npy,lat_-15.56734_lon_-56.09119.npz,Train
lat_-15.58775_lon_-56.13288.npz.npy,lat_-15.58775_lon_-56.13288.npz,Train
lat_-15.62766_lon_-55.99372.npz.npy,lat_-15.62766_lon_-55.99372.npz,Train
lat_-15.64640_lon_-47.75301.npz.npy,lat_-15.64640_lon_-47.75301.npz,Train
lat_-15.64874_lon_-56.19532.npz.npy,lat_-15.64874_lon_-56.19532.npz,Train
lat_-15.65299_lon_-47.76686.npz.npy,lat_-15.65299_lon_-47.76686.npz,Train
lat_-15.66825_lon_-56.01442.npz.npy,lat_-15.66825_lon_-56.01442.npz,Train
lat_-15.68768_lon_-55.84712.npz.npy,lat_-15.68768_lon_-55.84712.npz,Train
lat_-15.70949_lon_-56.19508.npz.npy,lat_-15.70949_lon_-56.19508.npz,Train
lat_-15.74842_lon_28.15322.npz.npy,lat_-15.74842_lon_28.15322.npz,Train
lat_-15.74853_lon_28.13231.npz.npy,lat_-15.74853_lon_28.13231.npz,Train
lat_-15.75021_lon_-47.93932.npz.npy,lat_-15.75021_lon_-47.93932.npz,Train
lat_-15.77300_lon_-48.12697.npz.npy,lat_-15.77300_lon_-48.12697.npz,Train
lat_-15.78946_lon_-47.85517.npz.npy,lat_-15.78946_lon_-47.85517.npz,Train
lat_-15.80751_lon_-47.70868.npz.npy,lat_-15.80751_lon_-47.70868.npz,Train
lat_-15.80998_lon_-47.87575.npz.npy,lat_-15.80998_lon_-47.87575.npz,Train
lat_-15.81117_lon_-47.95929.npz.npy,lat_-15.81117_lon_-47.95929.npz,Train
lat_-15.81560_lon_-47.70637.npz.npy,lat_-15.81560_lon_-47.70637.npz,Train
lat_-15.82584_lon_-43.30262.npz.npy,lat_-15.82584_lon_-43.30262.npz,Train
lat_-15.83255_lon_-48.04255.npz.npy,lat_-15.83255_lon_-48.04255.npz,Train
lat_-15.83311_lon_-48.08433.npz.npy,lat_-15.83311_lon_-48.08433.npz,Train
lat_-15.85277_lon_-48.04226.npz.npy,lat_-15.85277_lon_-48.04226.npz,Train
lat_-15.85306_lon_-48.06315.npz.npy,lat_-15.85306_lon_-48.06315.npz,Train
lat_-15.86800_lon_28.46766.npz.npy,lat_-15.86800_lon_28.46766.npz,Train
lat_-15.87328_lon_-48.06286.npz.npy,lat_-15.87328_lon_-48.06286.npz,Train
lat_-15.88995_lon_-47.81182.npz.npy,lat_-15.88995_lon_-47.81182.npz,Train
lat_-15.91513_lon_-48.16677.npz.npy,lat_-15.91513_lon_-48.16677.npz,Train
lat_-15.92620_lon_-47.53957.npz.npy,lat_-15.92620_lon_-47.53957.npz,Train
lat_-15.92671_lon_-49.25993.npz.npy,lat_-15.92671_lon_-49.25993.npz,Train
lat_-15.92721_lon_-43.32269.npz.npy,lat_-15.92721_lon_-43.32269.npz,Train
lat_-15.93266_lon_-44.31977.npz.npy,lat_-15.93266_lon_-44.31977.npz,Train
lat_-15.93366_lon_-44.82205.npz.npy,lat_-15.93366_lon_-44.82205.npz,Train
lat_-15.93535_lon_-48.16649.npz.npy,lat_-15.93535_lon_-48.16649.npz,Train
lat_-15.94883_lon_-43.51082.npz.npy,lat_-15.94883_lon_-43.51082.npz,Train
lat_-15.98474_lon_-54.95340.npz.npy,lat_-15.98474_lon_-54.95340.npz,Train
lat_-15.99462_lon_-48.06109.npz.npy,lat_-15.99462_lon_-48.06109.npz,Train
lat_-16.03478_lon_-48.03958.npz.npy,lat_-16.03478_lon_-48.03958.npz,Train
lat_-16.05177_lon_-49.78224.npz.npy,lat_-16.05177_lon_-49.78224.npz,Train
lat_-16.07494_lon_-48.01807.npz.npy,lat_-16.07494_lon_-48.01807.npz,Train
lat_-16.15553_lon_-47.99594.npz.npy,lat_-16.15553_lon_-47.99594.npz,Train
lat_-16.23583_lon_-47.95285.npz.npy,lat_-16.23583_lon_-47.95285.npz,Train
lat_-16.23717_lon_-56.63314.npz.npy,lat_-16.23717_lon_-56.63314.npz,Train
lat_-16.25612_lon_-44.17193.npz.npy,lat_-16.25612_lon_-44.17193.npz,Train
lat_-16.28125_lon_-48.95035.npz.npy,lat_-16.28125_lon_-48.95035.npz,Train
lat_-16.34155_lon_-48.90781.npz.npy,lat_-16.34155_lon_-48.90781.npz,Train
lat_-16.34777_lon_-43.67558.npz.npy,lat_-16.34777_lon_-43.67558.npz,Train
lat_-16.36675_lon_-49.48672.npz.npy,lat_-16.36675_lon_-49.48672.npz,Train
lat_-16.36802_lon_-49.67544.npz.npy,lat_-16.36802_lon_-49.67544.npz,Train
lat_-16.38160_lon_-48.86545.npz.npy,lat_-16.38160_lon_-48.86545.npz,Train
lat_-16.40267_lon_-48.94909.npz.npy,lat_-16.40267_lon_-48.94909.npz,Train
lat_-16.40509_lon_-49.21380.npz.npy,lat_-16.40509_lon_-49.21380.npz,Train
lat_-16.45959_lon_-54.59198.npz.npy,lat_-16.45959_lon_-54.59198.npz,Train
lat_-16.47982_lon_-54.59173.npz.npy,lat_-16.47982_lon_-54.59173.npz,Train
lat_-16.50647_lon_28.76615.npz.npy,lat_-16.50647_lon_28.76615.npz,Train
lat_-16.52671_lon_28.76633.npz.npy,lat_-16.52671_lon_28.76633.npz,Train
lat_-16.56788_lon_-49.31725.npz.npy,lat_-16.56788_lon_-49.31725.npz,Train
lat_-16.57191_lon_-67.92597.npz.npy,lat_-16.57191_lon_-67.92597.npz,Train
lat_-16.58760_lon_-49.25410.npz.npy,lat_-16.58760_lon_-49.25410.npz,Train
lat_-16.61025_lon_-49.56881.npz.npy,lat_-16.61025_lon_-49.56881.npz,Train
lat_-16.63049_lon_-49.56866.npz.npy,lat_-16.63049_lon_-49.56866.npz,Train
lat_-16.64832_lon_-49.25355.npz.npy,lat_-16.64832_lon_-49.25355.npz,Train
lat_-16.64918_lon_-49.35853.npz.npy,lat_-16.64918_lon_-49.35853.npz,Train
lat_-16.64999_lon_-49.46352.npz.npy,lat_-16.64999_lon_-49.46352.npz,Train
lat_-16.66891_lon_-49.29537.npz.npy,lat_-16.66891_lon_-49.29537.npz,Train
lat_-16.67257_lon_-43.82039.npz.npy,lat_-16.67257_lon_-43.82039.npz,Train
lat_-16.68862_lon_-49.23219.npz.npy,lat_-16.68862_lon_-49.23219.npz,Train
lat_-16.70782_lon_-49.11387.npz.npy,lat_-16.70782_lon_-49.11387.npz,Train
lat_-16.70839_lon_-46.82304.npz.npy,lat_-16.70839_lon_-46.82304.npz,Train
lat_-16.70990_lon_-49.35801.npz.npy,lat_-16.70990_lon_-49.35801.npz,Train
lat_-16.71341_lon_-43.88317.npz.npy,lat_-16.71341_lon_-43.88317.npz,Train
lat_-16.72963_lon_-49.29483.npz.npy,lat_-16.72963_lon_-49.29483.npz,Train
lat_-16.73014_lon_-49.35784.npz.npy,lat_-16.73014_lon_-49.35784.npz,Train
lat_-16.74952_lon_-49.25263.npz.npy,lat_-16.74952_lon_-49.25263.npz,Train
lat_-16.77448_lon_-49.94586.npz.npy,lat_-16.77448_lon_-49.94586.npz,Train
lat_-16.78982_lon_-49.23125.npz.npy,lat_-16.78982_lon_-49.23125.npz,Train
lat_-16.79472_lon_-49.94575.npz.npy,lat_-16.79472_lon_-49.94575.npz,Train
lat_-16.81077_lon_-49.31512.npz.npy,lat_-16.81077_lon_-49.31512.npz,Train
lat_-16.82853_lon_37.03603.npz.npy,lat_-16.82853_lon_37.03603.npz,Train
lat_-16.95398_lon_-46.48888.npz.npy,lat_-16.95398_lon_-46.48888.npz,Train
lat_-16.95554_lon_145.74248.npz.npy,lat_-16.95554_lon_145.74248.npz,Train
lat_-16.95567_lon_145.76351.npz.npy,lat_-16.95567_lon_145.76351.npz,Train
lat_-16.96928_lon_-48.94303.npz.npy,lat_-16.96928_lon_-48.94303.npz,Train
lat_-17.01640_lon_-46.23688.npz.npy,lat_-17.01640_lon_-46.23688.npz,Train
lat_-17.05455_lon_145.42615.npz.npy,lat_-17.05455_lon_145.42615.npz,Train
lat_-17.05806_lon_-46.02669.npz.npy,lat_-17.05806_lon_-46.02669.npz,Train
lat_-17.06981_lon_-54.87882.npz.npy,lat_-17.06981_lon_-54.87882.npz,Train
lat_-17.09770_lon_-43.81775.npz.npy,lat_-17.09770_lon_-43.81775.npz,Train
lat_-17.18478_lon_-71.00980.npz.npy,lat_-17.18478_lon_-71.00980.npz,Train
lat_-17.18499_lon_-70.98875.npz.npy,lat_-17.18499_lon_-70.98875.npz,Train
lat_-17.20544_lon_-70.96791.npz.npy,lat_-17.20544_lon_-70.96791.npz,Train
lat_-17.22567_lon_-70.96812.npz.npy,lat_-17.22567_lon_-70.96812.npz,Train
lat_-17.22661_lon_-46.87017.npz.npy,lat_-17.22661_lon_-46.87017.npz,Train
lat_-17.26928_lon_-70.61780.npz.npy,lat_-17.26928_lon_-70.61780.npz,Train
lat_-17.33649_lon_-44.86292.npz.npy,lat_-17.33649_lon_-44.86292.npz,Train
lat_-17.33652_lon_-44.92617.npz.npy,lat_-17.33652_lon_-44.92617.npz,Train
lat_-17.35677_lon_-44.92616.npz.npy,lat_-17.35677_lon_-44.92616.npz,Train
lat_-17.37656_lon_-66.12413.npz.npy,lat_-17.37656_lon_-66.12413.npz,Train
lat_-17.37703_lon_-44.98941.npz.npy,lat_-17.37703_lon_-44.98941.npz,Train
lat_-17.39637_lon_-50.39893.npz.npy,lat_-17.39637_lon_-50.39893.npz,Train
lat_-17.51674_lon_15.89688.npz.npy,lat_-17.51674_lon_15.89688.npz,Train
lat_-17.56815_lon_-71.11947.npz.npy,lat_-17.56815_lon_-71.11947.npz,Train
lat_-17.58876_lon_-54.91504.npz.npy,lat_-17.58876_lon_-54.91504.npz,Train
lat_-17.59958_lon_-44.73605.npz.npy,lat_-17.59958_lon_-44.73605.npz,Train
lat_-17.62672_lon_-71.31008.npz.npy,lat_-17.62672_lon_-71.31008.npz,Train
lat_-17.63901_lon_-51.70000.npz.npy,lat_-17.63901_lon_-51.70000.npz,Train
lat_-17.72119_lon_-50.86263.npz.npy,lat_-17.72119_lon_-50.86263.npz,Train
lat_-17.73795_lon_-46.17837.npz.npy,lat_-17.73795_lon_-46.17837.npz,Train
lat_-17.74005_lon_15.75010.npz.npy,lat_-17.74005_lon_15.75010.npz,Train
lat_-17.75242_lon_31.08956.npz.npy,lat_-17.75242_lon_31.08956.npz,Train
lat_-17.76170_lon_-50.88373.npz.npy,lat_-17.76170_lon_-50.88373.npz,Train
lat_-17.76172_lon_-50.92599.npz.npy,lat_-17.76172_lon_-50.92599.npz,Train
lat_-17.79635_lon_-46.51684.npz.npy,lat_-17.79635_lon_-46.51684.npz,Train
lat_-17.80179_lon_-50.58780.npz.npy,lat_-17.80179_lon_-50.58780.npz,Train
lat_-17.80220_lon_-50.90484.npz.npy,lat_-17.80220_lon_-50.90484.npz,Train
lat_-17.82208_lon_-50.60889.npz.npy,lat_-17.82208_lon_-50.60889.npz,Train
lat_-17.82247_lon_-50.96825.npz.npy,lat_-17.82247_lon_-50.96825.npz,Train
lat_-17.85165_lon_30.89832.npz.npy,lat_-17.85165_lon_30.89832.npz,Train
lat_-17.85297_lon_31.02510.npz.npy,lat_-17.85297_lon_31.02510.npz,Train
lat_-17.85360_lon_31.08849.npz.npy,lat_-17.85360_lon_31.08849.npz,Train
lat_-17.98073_lon_-70.20112.npz.npy,lat_-17.98073_lon_-70.20112.npz,Train
lat_-17.99559_lon_-46.87810.npz.npy,lat_-17.99559_lon_-46.87810.npz,Train
lat_-18.00029_lon_-70.30703.npz.npy,lat_-18.00029_lon_-70.30703.npz,Train
lat_-18.02387_lon_-50.35451.npz.npy,lat_-18.02387_lon_-50.35451.npz,Train
lat_-18.12956_lon_-49.05688.npz.npy,lat_-18.12956_lon_-49.05688.npz,Train
lat_-18.17418_lon_-70.47772.npz.npy,lat_-18.17418_lon_-70.47772.npz,Train
lat_-18.38161_lon_-44.48042.npz.npy,lat_-18.38161_lon_-44.48042.npz,Train
lat_-18.47916_lon_-70.28940.npz.npy,lat_-18.47916_lon_-70.28940.npz,Train
lat_-18.47930_lon_-70.26819.npz.npy,lat_-18.47930_lon_-70.26819.npz,Train
lat_-18.59886_lon_-46.52380.npz.npy,lat_-18.59886_lon_-46.52380.npz,Train
lat_-18.61944_lon_-46.48152.npz.npy,lat_-18.61944_lon_-46.48152.npz,Train
lat_-18.61960_lon_-46.46029.npz.npy,lat_-18.61960_lon_-46.46029.npz,Train
lat_-18.64492_lon_-48.20216.npz.npy,lat_-18.64492_lon_-48.20216.npz,Train
lat_-18.64825_lon_-48.43553.npz.npy,lat_-18.64825_lon_-48.43553.npz,Train
lat_-18.66359_lon_-44.09727.npz.npy,lat_-18.66359_lon_-44.09727.npz,Train
lat_-18.66382_lon_146.14723.npz.npy,lat_-18.66382_lon_146.14723.npz,Train
lat_-18.74576_lon_-44.39432.npz.npy,lat_-18.74576_lon_-44.39432.npz,Train
lat_-18.77727_lon_-49.07082.npz.npy,lat_-18.77727_lon_-49.07082.npz,Train
lat_-18.86861_lon_-48.28346.npz.npy,lat_-18.86861_lon_-48.28346.npz,Train
lat_-18.90811_lon_-48.21906.npz.npy,lat_-18.90811_lon_-48.21906.npz,Train
lat_-18.90967_lon_-48.32530.npz.npy,lat_-18.90967_lon_-48.32530.npz,Train
lat_-18.92896_lon_-48.26123.npz.npy,lat_-18.92896_lon_-48.26123.npz,Train
lat_-18.93080_lon_47.61127.npz.npy,lat_-18.93080_lon_47.61127.npz,Train
lat_-18.93110_lon_47.59002.npz.npy,lat_-18.93110_lon_47.59002.npz,Train
lat_-19.00258_lon_-50.67007.npz.npy,lat_-19.00258_lon_-50.67007.npz,Train
lat_-19.02244_lon_-50.49975.npz.npy,lat_-19.02244_lon_-50.49975.npz,Train
lat_-19.06298_lon_-50.52092.npz.npy,lat_-19.06298_lon_-50.52092.npz,Train
lat_-19.13501_lon_-47.69079.npz.npy,lat_-19.13501_lon_-47.69079.npz,Train
lat_-19.16422_lon_-45.47186.npz.npy,lat_-19.16422_lon_-45.47186.npz,Train
lat_-19.22680_lon_17.63721.npz.npy,lat_-19.22680_lon_17.63721.npz,Train
lat_-19.28154_lon_-40.31687.npz.npy,lat_-19.28154_lon_-40.31687.npz,Train
lat_-19.28528_lon_-44.39236.npz.npy,lat_-19.28528_lon_-44.39236.npz,Train
lat_-19.32369_lon_-46.06136.npz.npy,lat_-19.32369_lon_-46.06136.npz,Train
lat_-19.32415_lon_-48.11299.npz.npy,lat_-19.32415_lon_-48.11299.npz,Train
lat_-19.32665_lon_-45.21644.npz.npy,lat_-19.32665_lon_-45.21644.npz,Train
lat_-19.34393_lon_-40.06149.npz.npy,lat_-19.34393_lon_-40.06149.npz,Train
lat_-19.34403_lon_-48.09134.npz.npy,lat_-19.34403_lon_-48.09134.npz,Train
lat_-19.34417_lon_-46.01884.npz.npy,lat_-19.34417_lon_-46.01884.npz,Train
lat_-19.37100_lon_-47.34526.npz.npy,lat_-19.37100_lon_-47.34526.npz,Train
lat_-19.38428_lon_-40.08308.npz.npy,lat_-19.38428_lon_-40.08308.npz,Train
lat_-19.40439_lon_-40.10454.npz.npy,lat_-19.40439_lon_-40.10454.npz,Train
lat_-19.41149_lon_-54.55170.npz.npy,lat_-19.41149_lon_-54.55170.npz,Train
lat_-19.42445_lon_22.13411.npz.npy,lat_-19.42445_lon_22.13411.npz,Train
lat_-19.46681_lon_-44.22096.npz.npy,lat_-19.46681_lon_-44.22096.npz,Train
lat_-19.46831_lon_-44.75451.npz.npy,lat_-19.46831_lon_-44.75451.npz,Train
lat_-19.48773_lon_-45.60086.npz.npy,lat_-19.48773_lon_-45.60086.npz,Train
lat_-19.50230_lon_-46.55341.npz.npy,lat_-19.50230_lon_-46.55341.npz,Train
lat_-19.50546_lon_-40.12657.npz.npy,lat_-19.50546_lon_-40.12657.npz,Train
lat_-19.50747_lon_-44.26345.npz.npy,lat_-19.50747_lon_-44.26345.npz,Train
lat_-19.50772_lon_-44.32749.npz.npy,lat_-19.50772_lon_-44.32749.npz,Train
lat_-19.51261_lon_17.44982.npz.npy,lat_-19.51261_lon_17.44982.npz,Train
lat_-19.52796_lon_-44.32741.npz.npy,lat_-19.52796_lon_-44.32741.npz,Train
lat_-19.66903_lon_-44.17725.npz.npy,lat_-19.66903_lon_-44.17725.npz,Train
lat_-19.68927_lon_-44.17714.npz.npy,lat_-19.68927_lon_-44.17714.npz,Train
lat_-19.69113_lon_-44.90378.npz.npy,lat_-19.69113_lon_-44.90378.npz,Train
lat_-19.70961_lon_-50.19841.npz.npy,lat_-19.70961_lon_-50.19841.npz,Train
lat_-19.72529_lon_-47.91366.npz.npy,lat_-19.72529_lon_-47.91366.npz,Train
lat_-19.74659_lon_-47.97732.npz.npy,lat_-19.74659_lon_-47.97732.npz,Train
