,CroppedImage,Full_Image,Set
24,lat_-10.66652_lon_-37.46088.npz.npy,lat_-10.66652_lon_-37.46088.npy,Train
25,lat_-10.86383_lon_-61.89017.npz.npy,lat_-10.86383_lon_-61.89017.npy,Train
26,lat_-10.95724_lon_-42.54504.npz.npy,lat_-10.95724_lon_-42.54504.npy,Train
27,lat_-11.02778_lon_-68.72312.npz.npy,lat_-11.02778_lon_-68.72312.npy,Train
28,lat_-11.14054_lon_-42.68700.npz.npy,lat_-11.14054_lon_-42.68700.npy,Train
29,lat_-11.28207_lon_-42.66536.npz.npy,lat_-11.28207_lon_-42.66536.npy,Train
30,lat_-11.28616_lon_-58.73972.npz.npy,lat_-11.28616_lon_-58.73972.npy,Train
31,lat_-11.71410_lon_-61.78413.npz.npy,lat_-11.71410_lon_-61.78413.npy,Train
32,lat_-11.88761_lon_-55.53661.npz.npy,lat_-11.88761_lon_-55.53661.npy,Train
33,lat_-11.94825_lon_-55.51572.npz.npy,lat_-11.94825_lon_-55.51572.npy,Train
34,lat_-11.98875_lon_-55.51550.npz.npy,lat_-11.98875_lon_-55.51550.npy,Train
35,lat_-12.01276_lon_-44.68100.npz.npy,lat_-12.01276_lon_-44.68100.npy,Train
36,lat_-12.09286_lon_-45.78525.npz.npy,lat_-12.09286_lon_-45.78525.npy,Train
37,lat_-12.09333_lon_26.39999.npz.npy,lat_-12.09333_lon_26.39999.npy,Train
38,lat_-12.09397_lon_-44.94849.npz.npy,lat_-12.09397_lon_-44.94849.npy,Train
39,lat_-12.13448_lon_-44.94849.npz.npy,lat_-12.13448_lon_-44.94849.npy,Train
40,lat_-12.15474_lon_-44.98966.npz.npy,lat_-12.15474_lon_-44.98966.npy,Train
41,lat_-12.17493_lon_-44.80435.npz.npy,lat_-12.17493_lon_-44.80435.npy,Train
42,lat_-12.30393_lon_-42.34796.npz.npy,lat_-12.30393_lon_-42.34796.npy,Train
43,lat_-12.32663_lon_-42.61533.npz.npy,lat_-12.32663_lon_-42.61533.npy,Train
44,lat_-12.32884_lon_-42.88295.npz.npy,lat_-12.32884_lon_-42.88295.npy,Train
45,lat_-12.37388_lon_13.58297.npz.npy,lat_-12.37388_lon_13.58297.npy,Train
46,lat_-12.41538_lon_13.78879.npz.npy,lat_-12.41538_lon_13.78879.npy,Train
47,lat_-12.57726_lon_-55.75959.npz.npy,lat_-12.57726_lon_-55.75959.npy,Train
48,lat_-12.57863_lon_-44.10293.npz.npy,lat_-12.57863_lon_-44.10293.npy,Train
49,lat_-12.66927_lon_13.35451.npz.npy,lat_-12.66927_lon_13.35451.npy,Train
50,lat_-12.67335_lon_-38.26762.npz.npy,lat_-12.67335_lon_-38.26762.npy,Train
51,lat_-12.67346_lon_-38.30887.npz.npy,lat_-12.67346_lon_-38.30887.npy,Train
52,lat_-12.67352_lon_-38.32950.npz.npy,lat_-12.67352_lon_-38.32950.npy,Train
53,lat_-12.69410_lon_-38.47386.npz.npy,lat_-12.69410_lon_-38.47386.npy,Train
54,lat_-12.69414_lon_-38.49449.npz.npy,lat_-12.69414_lon_-38.49449.npy,Train
55,lat_-12.69428_lon_-38.57701.npz.npy,lat_-12.69428_lon_-38.57701.npy,Train
56,lat_-12.71439_lon_-38.49445.npz.npy,lat_-12.71439_lon_-38.49445.npy,Train
57,lat_-12.73461_lon_-38.47378.npz.npy,lat_-12.73461_lon_-38.47378.npy,Train
58,lat_-12.77512_lon_-38.47369.npz.npy,lat_-12.77512_lon_-38.47369.npy,Train
59,lat_-12.79524_lon_-38.41174.npz.npy,lat_-12.79524_lon_-38.41174.npy,Train
60,lat_-12.79529_lon_-38.43238.npz.npy,lat_-12.79529_lon_-38.43238.npy,Train
61,lat_-12.85662_lon_-38.84512.npz.npy,lat_-12.85662_lon_-38.84512.npy,Train
62,lat_-12.91667_lon_-38.37016.npz.npy,lat_-12.91667_lon_-38.37016.npy,Train
63,lat_-12.93453_lon_34.28344.npz.npy,lat_-12.93453_lon_34.28344.npy,Train
64,lat_-12.95737_lon_-38.45266.npz.npy,lat_-12.95737_lon_-38.45266.npy,Train
65,lat_-13.01647_lon_-55.92268.npz.npy,lat_-13.01647_lon_-55.92268.npy,Train
66,lat_-13.03681_lon_-55.94324.npz.npy,lat_-13.03681_lon_-55.94324.npy,Train
67,lat_-13.11849_lon_39.87833.npz.npy,lat_-13.11849_lon_39.87833.npy,Train
68,lat_-13.29689_lon_-43.34253.npz.npy,lat_-13.29689_lon_-43.34253.npy,Train
69,lat_-13.29702_lon_-43.36320.npz.npy,lat_-13.29702_lon_-43.36320.npy,Train
70,lat_-13.31713_lon_-43.34239.npz.npy,lat_-13.31713_lon_-43.34239.npy,Train
71,lat_-13.34041_lon_-43.90058.npz.npy,lat_-13.34041_lon_-43.90058.npy,Train
72,lat_-13.65742_lon_31.90698.npz.npy,lat_-13.65742_lon_31.90698.npy,Train
73,lat_-13.65944_lon_32.56195.npz.npy,lat_-13.65944_lon_32.56195.npy,Train
74,lat_-13.67767_lon_31.90689.npz.npy,lat_-13.67767_lon_31.90689.npy,Train
75,lat_-13.81093_lon_-42.68387.npz.npy,lat_-13.81093_lon_-42.68387.npy,Train
76,lat_-13.89188_lon_-42.68306.npz.npy,lat_-13.89188_lon_-42.68306.npy,Train
77,lat_-13.90157_lon_33.79827.npz.npy,lat_-13.90157_lon_33.79827.npy,Train
78,lat_-13.97223_lon_-42.62009.npz.npy,lat_-13.97223_lon_-42.62009.npy,Train
79,lat_-13.99247_lon_-42.61988.npz.npy,lat_-13.99247_lon_-42.61988.npy,Train
80,lat_-14.01311_lon_-42.66112.npz.npy,lat_-14.01311_lon_-42.66112.npy,Train
81,lat_-14.01331_lon_-42.68185.npz.npy,lat_-14.01331_lon_-42.68185.npy,Train
82,lat_-14.02208_lon_34.06111.npz.npy,lat_-14.02208_lon_34.06111.npy,Train
83,lat_-14.03294_lon_-42.61946.npz.npy,lat_-14.03294_lon_-42.61946.npy,Train
84,lat_-14.04233_lon_34.06120.npz.npy,lat_-14.04233_lon_34.06120.npy,Train
85,lat_-14.09310_lon_-71.43605.npz.npy,lat_-14.09310_lon_-71.43605.npy,Train
86,lat_-14.15309_lon_-42.49378.npz.npy,lat_-14.15309_lon_-42.49378.npy,Train
87,lat_-14.28397_lon_-43.66774.npz.npy,lat_-14.28397_lon_-43.66774.npy,Train
88,lat_-14.35630_lon_-42.57457.npz.npy,lat_-14.35630_lon_-42.57457.npy,Train
89,lat_-14.39740_lon_-42.63641.npz.npy,lat_-14.39740_lon_-42.63641.npy,Train
90,lat_-14.41743_lon_-42.61543.npz.npy,lat_-14.41743_lon_-42.61543.npy,Train
91,lat_-14.44441_lon_34.58254.npz.npy,lat_-14.44441_lon_34.58254.npy,Train
92,lat_-14.51904_lon_-40.38812.npz.npy,lat_-14.51904_lon_-40.38812.npy,Train
93,lat_-14.51916_lon_-40.36734.npz.npy,lat_-14.51916_lon_-40.36734.npy,Train
94,lat_-14.76382_lon_-43.95619.npz.npy,lat_-14.76382_lon_-43.95619.npy,Train
95,lat_-14.83993_lon_-40.82723.npz.npy,lat_-14.83993_lon_-40.82723.npy,Train
96,lat_-14.85573_lon_-71.31955.npz.npy,lat_-14.85573_lon_-71.31955.npy,Train
97,lat_-14.87597_lon_-71.31977.npz.npy,lat_-14.87597_lon_-71.31977.npy,Train
98,lat_-14.90049_lon_-40.84855.npz.npy,lat_-14.90049_lon_-40.84855.npy,Train
99,lat_-14.91644_lon_-71.32020.npz.npy,lat_-14.91644_lon_-71.32020.npy,Train
100,lat_-15.08809_lon_-44.01715.npz.npy,lat_-15.08809_lon_-44.01715.npy,Train
101,lat_-15.08841_lon_-44.09326.npz.npy,lat_-15.08841_lon_-44.09326.npy,Train
102,lat_-15.10734_lon_-43.80863.npz.npy,lat_-15.10734_lon_-43.80863.npy,Train
103,lat_-15.22853_lon_-40.24670.npz.npy,lat_-15.22853_lon_-40.24670.npy,Train
104,lat_-15.28911_lon_-43.72417.npz.npy,lat_-15.28911_lon_-43.72417.npy,Train
105,lat_-15.34960_lon_-43.68207.npz.npy,lat_-15.34960_lon_-43.68207.npy,Train
106,lat_-15.38542_lon_-44.17547.npz.npy,lat_-15.38542_lon_-44.17547.npy,Train
107,lat_-15.40411_lon_28.17217.npz.npy,lat_-15.40411_lon_28.17217.npy,Train
108,lat_-15.42378_lon_28.27665.npz.npy,lat_-15.42378_lon_28.27665.npy,Train
109,lat_-15.46283_lon_28.50652.npz.npy,lat_-15.46283_lon_28.50652.npy,Train
110,lat_-15.48735_lon_-44.38389.npz.npy,lat_-15.48735_lon_-44.38389.npy,Train
111,lat_-15.52412_lon_28.42344.npz.npy,lat_-15.52412_lon_28.42344.npy,Train
112,lat_-15.53624_lon_-47.36875.npz.npy,lat_-15.53624_lon_-47.36875.npy,Train
113,lat_-15.53911_lon_-47.35843.npz.npy,lat_-15.53911_lon_-47.35843.npy,Train
114,lat_-15.54526_lon_28.27739.npz.npy,lat_-15.54526_lon_28.27739.npy,Train
115,lat_-15.54685_lon_-56.03589.npz.npy,lat_-15.54685_lon_-56.03589.npy,Train
116,lat_-15.56734_lon_-56.09119.npz.npy,lat_-15.56734_lon_-56.09119.npy,Train
117,lat_-15.58775_lon_-56.13288.npz.npy,lat_-15.58775_lon_-56.13288.npy,Train
118,lat_-15.62766_lon_-55.99372.npz.npy,lat_-15.62766_lon_-55.99372.npy,Train
119,lat_-15.64640_lon_-47.75301.npz.npy,lat_-15.64640_lon_-47.75301.npy,Train
120,lat_-15.64874_lon_-56.19532.npz.npy,lat_-15.64874_lon_-56.19532.npy,Train
121,lat_-15.65299_lon_-47.76686.npz.npy,lat_-15.65299_lon_-47.76686.npy,Train
122,lat_-15.66825_lon_-56.01442.npz.npy,lat_-15.66825_lon_-56.01442.npy,Train
123,lat_-15.68768_lon_-55.84712.npz.npy,lat_-15.68768_lon_-55.84712.npy,Train
124,lat_-15.70949_lon_-56.19508.npz.npy,lat_-15.70949_lon_-56.19508.npy,Train
125,lat_-15.74842_lon_28.15322.npz.npy,lat_-15.74842_lon_28.15322.npy,Train
126,lat_-15.74853_lon_28.13231.npz.npy,lat_-15.74853_lon_28.13231.npy,Train
127,lat_-15.75021_lon_-47.93932.npz.npy,lat_-15.75021_lon_-47.93932.npy,Train
128,lat_-15.77300_lon_-48.12697.npz.npy,lat_-15.77300_lon_-48.12697.npy,Train
129,lat_-15.78946_lon_-47.85517.npz.npy,lat_-15.78946_lon_-47.85517.npy,Train
130,lat_-15.80751_lon_-47.70868.npz.npy,lat_-15.80751_lon_-47.70868.npy,Train
131,lat_-15.80998_lon_-47.87575.npz.npy,lat_-15.80998_lon_-47.87575.npy,Train
132,lat_-15.81117_lon_-47.95929.npz.npy,lat_-15.81117_lon_-47.95929.npy,Train
133,lat_-15.81560_lon_-47.70637.npz.npy,lat_-15.81560_lon_-47.70637.npy,Train
134,lat_-15.82584_lon_-43.30262.npz.npy,lat_-15.82584_lon_-43.30262.npy,Train
135,lat_-15.83255_lon_-48.04255.npz.npy,lat_-15.83255_lon_-48.04255.npy,Train
136,lat_-15.83311_lon_-48.08433.npz.npy,lat_-15.83311_lon_-48.08433.npy,Train
137,lat_-15.85277_lon_-48.04226.npz.npy,lat_-15.85277_lon_-48.04226.npy,Train
138,lat_-15.85306_lon_-48.06315.npz.npy,lat_-15.85306_lon_-48.06315.npy,Train
139,lat_-15.86800_lon_28.46766.npz.npy,lat_-15.86800_lon_28.46766.npy,Train
140,lat_-15.87328_lon_-48.06286.npz.npy,lat_-15.87328_lon_-48.06286.npy,Train
141,lat_-15.88995_lon_-47.81182.npz.npy,lat_-15.88995_lon_-47.81182.npy,Train
142,lat_-15.91513_lon_-48.16677.npz.npy,lat_-15.91513_lon_-48.16677.npy,Train
143,lat_-15.92620_lon_-47.53957.npz.npy,lat_-15.92620_lon_-47.53957.npy,Train
144,lat_-15.92671_lon_-49.25993.npz.npy,lat_-15.92671_lon_-49.25993.npy,Train
145,lat_-15.92721_lon_-43.32269.npz.npy,lat_-15.92721_lon_-43.32269.npy,Train
146,lat_-15.93266_lon_-44.31977.npz.npy,lat_-15.93266_lon_-44.31977.npy,Train
147,lat_-15.93366_lon_-44.82205.npz.npy,lat_-15.93366_lon_-44.82205.npy,Train
148,lat_-15.93535_lon_-48.16649.npz.npy,lat_-15.93535_lon_-48.16649.npy,Train
149,lat_-15.94883_lon_-43.51082.npz.npy,lat_-15.94883_lon_-43.51082.npy,Train
150,lat_-15.98474_lon_-54.95340.npz.npy,lat_-15.98474_lon_-54.95340.npy,Train
151,lat_-15.99462_lon_-48.06109.npz.npy,lat_-15.99462_lon_-48.06109.npy,Train
152,lat_-16.03478_lon_-48.03958.npz.npy,lat_-16.03478_lon_-48.03958.npy,Train
153,lat_-16.05177_lon_-49.78224.npz.npy,lat_-16.05177_lon_-49.78224.npy,Train
154,lat_-16.07494_lon_-48.01807.npz.npy,lat_-16.07494_lon_-48.01807.npy,Train
155,lat_-16.15553_lon_-47.99594.npz.npy,lat_-16.15553_lon_-47.99594.npy,Train
156,lat_-16.23583_lon_-47.95285.npz.npy,lat_-16.23583_lon_-47.95285.npy,Train
157,lat_-16.23717_lon_-56.63314.npz.npy,lat_-16.23717_lon_-56.63314.npy,Train
158,lat_-16.25612_lon_-44.17193.npz.npy,lat_-16.25612_lon_-44.17193.npy,Train
159,lat_-16.28125_lon_-48.95035.npz.npy,lat_-16.28125_lon_-48.95035.npy,Train
160,lat_-16.34155_lon_-48.90781.npz.npy,lat_-16.34155_lon_-48.90781.npy,Train
161,lat_-16.34777_lon_-43.67558.npz.npy,lat_-16.34777_lon_-43.67558.npy,Train
162,lat_-16.36675_lon_-49.48672.npz.npy,lat_-16.36675_lon_-49.48672.npy,Train
163,lat_-16.36802_lon_-49.67544.npz.npy,lat_-16.36802_lon_-49.67544.npy,Train
164,lat_-16.38160_lon_-48.86545.npz.npy,lat_-16.38160_lon_-48.86545.npy,Train
165,lat_-16.40267_lon_-48.94909.npz.npy,lat_-16.40267_lon_-48.94909.npy,Train
166,lat_-16.40509_lon_-49.21380.npz.npy,lat_-16.40509_lon_-49.21380.npy,Train
167,lat_-16.45959_lon_-54.59198.npz.npy,lat_-16.45959_lon_-54.59198.npy,Train
168,lat_-16.47982_lon_-54.59173.npz.npy,lat_-16.47982_lon_-54.59173.npy,Train
169,lat_-16.50647_lon_28.76615.npz.npy,lat_-16.50647_lon_28.76615.npy,Train
170,lat_-16.52671_lon_28.76633.npz.npy,lat_-16.52671_lon_28.76633.npy,Train
171,lat_-16.56788_lon_-49.31725.npz.npy,lat_-16.56788_lon_-49.31725.npy,Train
172,lat_-16.57191_lon_-67.92597.npz.npy,lat_-16.57191_lon_-67.92597.npy,Train
173,lat_-16.58760_lon_-49.25410.npz.npy,lat_-16.58760_lon_-49.25410.npy,Train
174,lat_-16.61025_lon_-49.56881.npz.npy,lat_-16.61025_lon_-49.56881.npy,Train
175,lat_-16.63049_lon_-49.56866.npz.npy,lat_-16.63049_lon_-49.56866.npy,Train
176,lat_-16.64832_lon_-49.25355.npz.npy,lat_-16.64832_lon_-49.25355.npy,Train
177,lat_-16.64918_lon_-49.35853.npz.npy,lat_-16.64918_lon_-49.35853.npy,Train
178,lat_-16.64999_lon_-49.46352.npz.npy,lat_-16.64999_lon_-49.46352.npy,Train
179,lat_-16.66891_lon_-49.29537.npz.npy,lat_-16.66891_lon_-49.29537.npy,Train
180,lat_-16.67257_lon_-43.82039.npz.npy,lat_-16.67257_lon_-43.82039.npy,Train
181,lat_-16.68862_lon_-49.23219.npz.npy,lat_-16.68862_lon_-49.23219.npy,Train
182,lat_-16.70782_lon_-49.11387.npz.npy,lat_-16.70782_lon_-49.11387.npy,Train
183,lat_-16.70839_lon_-46.82304.npz.npy,lat_-16.70839_lon_-46.82304.npy,Train
184,lat_-16.70990_lon_-49.35801.npz.npy,lat_-16.70990_lon_-49.35801.npy,Train
185,lat_-16.71341_lon_-43.88317.npz.npy,lat_-16.71341_lon_-43.88317.npy,Train
186,lat_-16.72963_lon_-49.29483.npz.npy,lat_-16.72963_lon_-49.29483.npy,Train
187,lat_-16.73014_lon_-49.35784.npz.npy,lat_-16.73014_lon_-49.35784.npy,Train
188,lat_-16.74952_lon_-49.25263.npz.npy,lat_-16.74952_lon_-49.25263.npy,Train
189,lat_-16.77448_lon_-49.94586.npz.npy,lat_-16.77448_lon_-49.94586.npy,Train
190,lat_-16.78982_lon_-49.23125.npz.npy,lat_-16.78982_lon_-49.23125.npy,Train
191,lat_-16.79472_lon_-49.94575.npz.npy,lat_-16.79472_lon_-49.94575.npy,Train
192,lat_-16.81077_lon_-49.31512.npz.npy,lat_-16.81077_lon_-49.31512.npy,Train
193,lat_-16.82853_lon_37.03603.npz.npy,lat_-16.82853_lon_37.03603.npy,Train
194,lat_-16.95398_lon_-46.48888.npz.npy,lat_-16.95398_lon_-46.48888.npy,Train
195,lat_-16.95554_lon_145.74248.npz.npy,lat_-16.95554_lon_145.74248.npy,Train
196,lat_-16.95567_lon_145.76351.npz.npy,lat_-16.95567_lon_145.76351.npy,Train
197,lat_-16.96928_lon_-48.94303.npz.npy,lat_-16.96928_lon_-48.94303.npy,Train
198,lat_-17.01640_lon_-46.23688.npz.npy,lat_-17.01640_lon_-46.23688.npy,Train
199,lat_-17.05455_lon_145.42615.npz.npy,lat_-17.05455_lon_145.42615.npy,Train
200,lat_-17.05806_lon_-46.02669.npz.npy,lat_-17.05806_lon_-46.02669.npy,Train
201,lat_-17.06981_lon_-54.87882.npz.npy,lat_-17.06981_lon_-54.87882.npy,Train
202,lat_-17.09770_lon_-43.81775.npz.npy,lat_-17.09770_lon_-43.81775.npy,Train
203,lat_-17.18478_lon_-71.00980.npz.npy,lat_-17.18478_lon_-71.00980.npy,Train
204,lat_-17.18499_lon_-70.98875.npz.npy,lat_-17.18499_lon_-70.98875.npy,Train
205,lat_-17.20544_lon_-70.96791.npz.npy,lat_-17.20544_lon_-70.96791.npy,Train
206,lat_-17.22567_lon_-70.96812.npz.npy,lat_-17.22567_lon_-70.96812.npy,Train
207,lat_-17.22661_lon_-46.87017.npz.npy,lat_-17.22661_lon_-46.87017.npy,Train
208,lat_-17.26928_lon_-70.61780.npz.npy,lat_-17.26928_lon_-70.61780.npy,Train
209,lat_-17.33649_lon_-44.86292.npz.npy,lat_-17.33649_lon_-44.86292.npy,Train
210,lat_-17.33652_lon_-44.92617.npz.npy,lat_-17.33652_lon_-44.92617.npy,Train
211,lat_-17.35677_lon_-44.92616.npz.npy,lat_-17.35677_lon_-44.92616.npy,Train
212,lat_-17.37656_lon_-66.12413.npz.npy,lat_-17.37656_lon_-66.12413.npy,Train
213,lat_-17.37703_lon_-44.98941.npz.npy,lat_-17.37703_lon_-44.98941.npy,Train
214,lat_-17.39637_lon_-50.39893.npz.npy,lat_-17.39637_lon_-50.39893.npy,Train
215,lat_-17.51674_lon_15.89688.npz.npy,lat_-17.51674_lon_15.89688.npy,Train
216,lat_-17.56815_lon_-71.11947.npz.npy,lat_-17.56815_lon_-71.11947.npy,Train
217,lat_-17.58876_lon_-54.91504.npz.npy,lat_-17.58876_lon_-54.91504.npy,Train
218,lat_-17.59958_lon_-44.73605.npz.npy,lat_-17.59958_lon_-44.73605.npy,Train
219,lat_-17.62672_lon_-71.31008.npz.npy,lat_-17.62672_lon_-71.31008.npy,Train
220,lat_-17.63901_lon_-51.70000.npz.npy,lat_-17.63901_lon_-51.70000.npy,Train
221,lat_-17.72119_lon_-50.86263.npz.npy,lat_-17.72119_lon_-50.86263.npy,Train
222,lat_-17.73795_lon_-46.17837.npz.npy,lat_-17.73795_lon_-46.17837.npy,Train
223,lat_-17.74005_lon_15.75010.npz.npy,lat_-17.74005_lon_15.75010.npy,Train
224,lat_-17.75242_lon_31.08956.npz.npy,lat_-17.75242_lon_31.08956.npy,Train
225,lat_-17.76170_lon_-50.88373.npz.npy,lat_-17.76170_lon_-50.88373.npy,Train
226,lat_-17.76172_lon_-50.92599.npz.npy,lat_-17.76172_lon_-50.92599.npy,Train
227,lat_-17.79635_lon_-46.51684.npz.npy,lat_-17.79635_lon_-46.51684.npy,Train
228,lat_-17.80179_lon_-50.58780.npz.npy,lat_-17.80179_lon_-50.58780.npy,Train
229,lat_-17.80220_lon_-50.90484.npz.npy,lat_-17.80220_lon_-50.90484.npy,Train
230,lat_-17.82208_lon_-50.60889.npz.npy,lat_-17.82208_lon_-50.60889.npy,Train
231,lat_-17.82247_lon_-50.96825.npz.npy,lat_-17.82247_lon_-50.96825.npy,Train
232,lat_-17.85165_lon_30.89832.npz.npy,lat_-17.85165_lon_30.89832.npy,Train
233,lat_-17.85297_lon_31.02510.npz.npy,lat_-17.85297_lon_31.02510.npy,Train
234,lat_-17.85360_lon_31.08849.npz.npy,lat_-17.85360_lon_31.08849.npy,Train
235,lat_-17.98073_lon_-70.20112.npz.npy,lat_-17.98073_lon_-70.20112.npy,Train
236,lat_-17.99559_lon_-46.87810.npz.npy,lat_-17.99559_lon_-46.87810.npy,Train
237,lat_-18.00029_lon_-70.30703.npz.npy,lat_-18.00029_lon_-70.30703.npy,Train
238,lat_-18.02387_lon_-50.35451.npz.npy,lat_-18.02387_lon_-50.35451.npy,Train
239,lat_-18.12956_lon_-49.05688.npz.npy,lat_-18.12956_lon_-49.05688.npy,Train
240,lat_-18.17418_lon_-70.47772.npz.npy,lat_-18.17418_lon_-70.47772.npy,Train
241,lat_-18.38161_lon_-44.48042.npz.npy,lat_-18.38161_lon_-44.48042.npy,Train
242,lat_-18.47916_lon_-70.28940.npz.npy,lat_-18.47916_lon_-70.28940.npy,Train
243,lat_-18.47930_lon_-70.26819.npz.npy,lat_-18.47930_lon_-70.26819.npy,Train
244,lat_-18.59886_lon_-46.52380.npz.npy,lat_-18.59886_lon_-46.52380.npy,Train
245,lat_-18.61944_lon_-46.48152.npz.npy,lat_-18.61944_lon_-46.48152.npy,Train
246,lat_-18.61960_lon_-46.46029.npz.npy,lat_-18.61960_lon_-46.46029.npy,Train
247,lat_-18.64492_lon_-48.20216.npz.npy,lat_-18.64492_lon_-48.20216.npy,Train
248,lat_-18.64825_lon_-48.43553.npz.npy,lat_-18.64825_lon_-48.43553.npy,Train
249,lat_-18.66359_lon_-44.09727.npz.npy,lat_-18.66359_lon_-44.09727.npy,Train
250,lat_-18.66382_lon_146.14723.npz.npy,lat_-18.66382_lon_146.14723.npy,Train
251,lat_-18.74576_lon_-44.39432.npz.npy,lat_-18.74576_lon_-44.39432.npy,Train
252,lat_-18.77727_lon_-49.07082.npz.npy,lat_-18.77727_lon_-49.07082.npy,Train
253,lat_-18.86861_lon_-48.28346.npz.npy,lat_-18.86861_lon_-48.28346.npy,Train
254,lat_-18.90811_lon_-48.21906.npz.npy,lat_-18.90811_lon_-48.21906.npy,Train
255,lat_-18.90967_lon_-48.32530.npz.npy,lat_-18.90967_lon_-48.32530.npy,Train
256,lat_-18.92896_lon_-48.26123.npz.npy,lat_-18.92896_lon_-48.26123.npy,Train
257,lat_-18.93080_lon_47.61127.npz.npy,lat_-18.93080_lon_47.61127.npy,Train
258,lat_-18.93110_lon_47.59002.npz.npy,lat_-18.93110_lon_47.59002.npy,Train
259,lat_-19.00258_lon_-50.67007.npz.npy,lat_-19.00258_lon_-50.67007.npy,Train
260,lat_-19.02244_lon_-50.49975.npz.npy,lat_-19.02244_lon_-50.49975.npy,Train
261,lat_-19.06298_lon_-50.52092.npz.npy,lat_-19.06298_lon_-50.52092.npy,Train
262,lat_-19.13501_lon_-47.69079.npz.npy,lat_-19.13501_lon_-47.69079.npy,Train
263,lat_-19.16422_lon_-45.47186.npz.npy,lat_-19.16422_lon_-45.47186.npy,Train
264,lat_-19.22680_lon_17.63721.npz.npy,lat_-19.22680_lon_17.63721.npy,Train
265,lat_-19.28154_lon_-40.31687.npz.npy,lat_-19.28154_lon_-40.31687.npy,Train
266,lat_-19.28528_lon_-44.39236.npz.npy,lat_-19.28528_lon_-44.39236.npy,Train
267,lat_-19.32369_lon_-46.06136.npz.npy,lat_-19.32369_lon_-46.06136.npy,Train
268,lat_-19.32415_lon_-48.11299.npz.npy,lat_-19.32415_lon_-48.11299.npy,Train
269,lat_-19.32665_lon_-45.21644.npz.npy,lat_-19.32665_lon_-45.21644.npy,Train
270,lat_-19.34393_lon_-40.06149.npz.npy,lat_-19.34393_lon_-40.06149.npy,Train
271,lat_-19.34403_lon_-48.09134.npz.npy,lat_-19.34403_lon_-48.09134.npy,Train
272,lat_-19.34417_lon_-46.01884.npz.npy,lat_-19.34417_lon_-46.01884.npy,Train
273,lat_-19.37100_lon_-47.34526.npz.npy,lat_-19.37100_lon_-47.34526.npy,Train
274,lat_-19.38428_lon_-40.08308.npz.npy,lat_-19.38428_lon_-40.08308.npy,Train
275,lat_-19.40439_lon_-40.10454.npz.npy,lat_-19.40439_lon_-40.10454.npy,Train
276,lat_-19.41149_lon_-54.55170.npz.npy,lat_-19.41149_lon_-54.55170.npy,Train
277,lat_-19.42445_lon_22.13411.npz.npy,lat_-19.42445_lon_22.13411.npy,Train
278,lat_-19.46681_lon_-44.22096.npz.npy,lat_-19.46681_lon_-44.22096.npy,Train
279,lat_-19.46831_lon_-44.75451.npz.npy,lat_-19.46831_lon_-44.75451.npy,Train
280,lat_-19.48773_lon_-45.60086.npz.npy,lat_-19.48773_lon_-45.60086.npy,Train
